team,conference,division,points,wins,losses,ot_losses,goal_diff
Colorado Avalanche,Western,Central,97,44,12,9,84
Dallas Stars,Western,Central,92,41,14,10,53
Minnesota Wild,Western,Central,88,38,16,12,34
Anaheim Ducks,Western,Pacific,75,36,27,3,-11
Vegas Golden Knights,Western,Pacific,74,30,22,14,7
Edmonton Oilers,Western,Pacific,73,32,26,9,4
Utah Mammoth,Western,Central,74,34,26,6,21
Los Angeles Kings,Western,Pacific,69,27,23,15,-22
Carolina Hurricanes,Eastern,Metropolitan,88,41,18,6,40
Pittsburgh Penguins,Eastern,Metropolitan,79,32,18,15,20
New York Islanders,Eastern,Metropolitan,79,37,24,5,5
Buffalo Sabres,Eastern,Atlantic,86,40,20,6,34
Tampa Bay Lightning,Eastern,Atlantic,84,40,20,4,51
Montréal Canadiens,Eastern,Atlantic,82,36,18,10,16
Boston Bruins,Eastern,Atlantic,80,37,23,6,12
Detroit Red Wings,Eastern,Atlantic,79,36,23,7,-5
